"","x","freq"
"562","Bemis",1
"563","Benard",1
"564","Benavides",1
"565","Bench",1
"566","Bender",1
"567","Benedict",2
"568","Benes",3
"569","Benge",1
"570","Bengough",1
"571","Benintendi",1
"572","Beniquez",1
"573","Benitez",2
"574","Benjamin",2
"575","Benn",1
"576","Benners",1
"577","Bennett",14
"578","Benoit",1
"579","Benson",4
"580","Bentley",2
"581","Benton",6
"582","Bentz",1
"583","Benz",1
"584","Benzinger",1
"585","Berardino",1
"586","Berberet",1
"587","Berblinger",1
"588","Bere",1
"589","Berenguer",1
"590","Berenyi",1
"591","Beresford",1
"592","Berg",3
"593","Bergamo",1
"594","Bergen",2
"595","Berger",8
"596","Bergeron",1
"597","Bergesen",1
"598","Bergh",1
"599","Berghammer",1
"600","Bergman",5
"601","Bergmann",1
"602","Bergolla",1
"603","Berkelbach",1
"604","Berken",1
"605","Berkenstock",1
"606","Berkman",1
"607","Berly",1
"608","Berman",1
"609","Bernadina",1
"610","Bernal",1
"611","Bernard",3
"612","Bernazard",1
"613","Bernero",1
"614","Bernhard",1
"615","Bernhardt",2
"616","Bernier",2
"617","Bero",1
"618","Berra",2
"619","Berran",1
"620","Berres",1
"621","Berrios",1
"622","Berroa",2
"623","Berry",11
"624","Berryhill",1
"625","Bertaina",1
"626","Berte",1
"627","Bertell",1
"628","Berthrong",1
"629","Bertoia",1
"630","Bertotti",1
"631","Bertrand",1
"632","Berumen",1
"633","Besana",1
"634","Bescher",1
"635","Besse",1
"636","Bessent",1
"637","Best",1
"638","Bestick",1
"639","Beswick",1
"640","Betances",1
"641","Betancourt",2
"642","Betcher",1
"643","Betemit",1
"644","Bethancourt",1
"645","Bethea",1
"646","Bethke",1
"647","Bettencourt",1
"648","Bettendorf",1
"649","Bettis",1
"650","Betts",3
"651","Betzel",1
"652","Bevacqua",1
"653","Bevan",1
"654","Bevens",1
"655","Beverlin",1
"656","Bevil",2
"657","Beville",2
"658","Bevington",1
"659","Bezdek",1
"660","Biagini",1
"661","Biancalana",1
"662","Bianchi",1
"663","Bianco",1
"664","Biasatti",1
"665","Bibby",1
"666","Bichette",1
"667","Bickerton",1
"668","Bickford",1
"669","Bickham",1
"670","Bicknell",1
"671","Biddle",1
"672","Biecher",1
"673","Bielaski",1
"674","Bielecki",1
"675","Biemiller",1
"676","Bierbauer",1
"677","Bierbrodt",1
"678","Bierd",1
"679","Bierman",1
"680","Bieser",1
"681","Bigbee",2
"682","Bigbie",1
"683","Bigelow",1
"684","Biggio",1
"685","Biggs",1
"686","Bigler",1
"687","Bignell",1
"688","Biittner",1
"689","Bilardello",1
"690","Bilbrey",1
"691","Bildilli",1
"692","Bilko",1
"693","Billiard",1
"694","Billingham",1
"695","Billings",4
"696","Billingsley",2
"697","Binks",1
"698","Biras",1
"699","Birchall",1
"700","Bird",5
"701","Birdsall",1
"702","Birkbeck",1
"703","Birkins",1
"704","Birkofer",1
"705","Birmingham",1
"706","Birrer",1
"707","Birtsas",1
"708","Biscan",1
"709","Bischoff",1
"710","Bisenius",1
"711","Bishop",8
"712","Bisland",1
"713","Bissonette",1
"714","Bithorn",1
"715","Bitker",1
"716","Bittiger",1
"717","Bittmann",1
"718","Bivin",1
"719","Bixler",1
"720","Bjorkman",1
"721","Blach",1
"722","Black",9
"723","Blackaby",1
"724","Blackburn",6
"725","Blackburne",1
"726","Blackerby",1
"727","Blackley",1
"728","Blackmon",1
"729","Blackwell",3
"730","Blades",1
"731","Bladt",1
"732","Blaeholder",1
"733","Blaemire",1
"734","Blair",9
"735","Blaisdell",1
"736","Blake",4
"737","Blakely",1
"738","Blakiston",1
"739","Blalock",1
"740","Blanchard",1
"741","Blanche",1
"742","Blanco",7
"743","Bland",1
"744","Blanding",1
"745","Blank",3
"746","Blankenship",5
"747","Blanks",2
"748","Blanton",2
"749","Blash",1
"750","Blasingame",2
"751","Blass",1
"752","Blateric",1
"753","Blatnik",1
"754","Blattner",1
"755","Blauser",1
"756","Blauvelt",1
"757","Blaylock",3
"758","Blazek",1
"759","Blazier",1
"760","Blefary",1
"761","Bleier",1
"762","Blemker",1
"763","Blessitt",1
"764","Blethen",1
"765","Blevins",1
"766","Blewett",1
"767","Bligh",1
"768","Bliss",3
"769","Block",2
"770","Blocker",1
"771","Blogg",1
"772","Blomberg",1
"773","Blomdahl",1
"774","Blong",1
"775","Bloodworth",1
"776","Bloomfield",1
"777","Bloomquist",1
"778","Blosser",1
"779","Blott",1
"780","Blowers",1
"781","Blue",3
"782","Bluege",2
"783","Bluejacket",1
"784","Bluhm",1
"785","Blum",1
"786","Bluma",1
"787","Blume",1
"788","Blyleven",1
"789","Blyzka",1
"790","Boak",1
"791","Boardman",2
"792","Bobb",1
"793","Bocachica",1
"794","Boccabella",1
"795","Bocek",1
"796","Bochte",1
"797","Bochtler",1
"798","Bochy",2
"799","Bockman",1
"800","Bockus",1
"801","Bocock",1
"802","Boddicker",1
"803","Bodie",1
"804","Boeckel",1
"805","Boehler",1
"806","Boehling",1
"807","Boehmer",1
"808","Boehringer",1
"809","Boerner",1
"810","Boesch",1
"811","Boever",1
"812","Bogaerts",1
"813","Bogar",1
"814","Bogart",1
"815","Bogener",1
"816","Boggs",5
"817","Bogle",1
"818","Bogusevic",1
"819","Bohanon",1
"820","Bohen",1
"821","Bohn",2
"822","Bohne",1
"823","Bohnet",1
"824","Boisclair",1
"825","Boitano",1
"826","Bokelmann",1
"827","Boken",1
"828","Bokina",1
"829","Boland",3
"830","Bold",1
"831","Bolden",1
"832","Bolen",1
"833","Boles",2
"834","Boley",1
"835","Bolger",1
"836","Bolick",1
"837","Bolin",1
"838","Bolling",3
"839","Bollo",1
"840","Bollweg",1
"841","Bolsinger",1
"842","Bolton",4
"843","Bomback",1
"844","Bond",2
"845","Bonderman",1
"846","Bonds",2
"847","Bone",1
"848","Bones",1
"849","Bonetti",1
"850","Boney",1
"851","Bong",1
"852","Bongiovanni",1
"853","Bonham",2
"854","Bonifacio",1
"855","Bonikowski",1
"856","Bonilla",3
"857","Bonin",1
"858","Bonine",1
"859","Bonnell",1
"860","Bonner",2
"861","Bonness",1
"862","Bono",1
"863","Bonser",1
"864","Bonura",1
"865","Booe",1
"866","Booker",4
"867","Bool",1
"868","Booles",1
"869","Boone",9
"870","Bootcheck",1
"871","Booth",3
"872","Booty",1
"873","Boozer",1
"874","Borbon",3
"875","Borchard",1
"876","Borchers",1
"877","Bordagaray",1
"878","Borden",1
"879","Borders",1
"880","Bordi",1
"881","Bordick",1
"882","Bordley",1
"883","Borgmann",1
"884","Boris",1
"885","Bork",1
"886","Borkowski",2
"887","Borland",2
"888","Borom",1
"889","Boros",1
"890","Borowski",1
"891","Borowy",1
"892","Borton",1
"893","Boscan",2
"894","Bosch",1
"895","Bosetti",1
"896","Boshers",1
"897","Bosio",1
"898","Boskie",1
"899","Bosley",1
"900","Bosman",1
"901","Boss",1
"902","Bosser",1
"903","Bostick",1
"904","Bostock",1
"905","Boston",1
"906","Boswell",3
"907","Botelho",1
"908","Bottalico",1
"909","Bottarini",1
